iter	RMSE
193	1029.863634
194	1023.360066
195	1010.788316
196	1003.771361
197	1002.297713
198	996.7474947
199	986.5026973
200	983.0290289
201	978.1266942
202	968.4373465
203	965.0647953
204	955.8895881
205	949.1038558
206	944.009992
207	939.6348015
208	936.3052827
209	927.8481574
210	921.6727932
211	918.5623144
212	915.487362
213	911.8087458
214	902.8992402
215	895.1682262
216	887.069318
217	883.6215118
218	880.7665114
219	873.3157242
220	869.8314593
221	862.148898
222	858.1977814
223	853.9036857
224	847.1941024
225	844.9718849
226	842.9513693
227	836.7468712
228	834.8397171
229	830.0311624
230	825.3728256
231	823.0799719
232	818.4850356
233	813.9384431
234	804.2415337
235	801.5402703
236	799.802492
237	798.3071895
238	795.7271474
239	791.6618389
240	789.2148774
241	786.1362537
242	783.2849978
243	780.956927
244	778.7214045
245	776.5842717
246	775.4888439
247	769.5944293
248	767.5748387
249	765.6474125
250	763.7975191
251	762.0308948
252	754.3285784
253	752.3883834
254	750.8617578
255	749.0721699
256	747.5699087
257	745.0084441
258	738.9853653
259	735.7972651
260	729.7896807
261	728.332515
262	726.5690101
263	725.3191673
264	724.7626746
265	723.5791458
266	721.3499074
267	716.1892154
268	715.0772748
269	713.7537409
270	710.7100395
271	709.2558976
272	708.4169569
273	707.6241831
274	706.8746885
275	705.6896838
276	700.8465909
277	697.9349642
278	693.1984724
279	691.0672715
280	689.6568776
281	685.1670129
282	683.8425134
283	682.5965638
284	681.4510821
285	679.6583999
286	676.5192275
287	672.375764
288	671.3030828
289	666.0711693
290	665.8330167
291	662.2890659
292	660.4622445
293	659.2243571
294	658.1549197
295	654.42746
296	652.5103524
297	650.742008
298	647.8738183
299	645.3724511
300	642.3768192
301	640.6429125
302	637.8288114
303	635.8915933
304	631.4375065
305	628.492562
306	625.9184043
307	625.0752489
308	624.0857383
309	622.7415383
310	621.8015938
311	619.8002051
312	619.4318634
313	618.3818262
314	617.652207
315	616.0309587
316	615.3134732
317	613.8454858
318	612.6376767
319	611.8206086
320	610.2648806
321	606.2701684
322	605.1242361
323	605.0707282
324	603.7150172
325	601.4122826
326	601.363629
327	601.3171278
328	600.5734386
329	599.2092387
330	597.1233916
331	592.9244811
332	589.7528965
333	588.3441547
334	585.3778115
335	583.7158527
336	583.066782
337	582.287116
338	581.2131144
339	578.271325
340	577.3957809
341	576.435541
342	575.1039156
343	574.06654
344	572.2971588
345	570.5913097
346	568.2784044
347	567.5764054
348	566.1624365
349	565.4883398
350	564.9459018
351	564.3032425
352	563.546152
353	562.8274862
354	560.1089955
355	559.3410036
356	558.6581964
357	554.563876
358	554.1295767
359	551.6248803
360	550.918615
361	550.4540201
362	548.1010641
363	546.6211949
364	545.9239074
365	543.7304007
366	543.4420684
367	541.2551805
368	540.1569804
369	538.9290067
370	537.0985888
371	536.6258198
372	535.8575225
373	535.0528749
374	534.3011884
375	533.8676018
376	533.0276041
377	527.0214464
378	526.6227709
379	523.9005436
380	523.2325406
381	521.2247824
382	519.3450463
383	518.9681657
384	517.1111794
385	516.7616183
386	514.6963767
387	513.8171905
388	512.0325067
389	511.6304442
390	511.2986929
391	509.6206148
392	509.0013503
393	508.6924259
394	506.3165761
395	504.7974523
396	502.5220405
397	502.1388834
398	500.5819359
399	499.9563072
400	499.2662519
401	497.2869584
402	495.6558432
403	495.2474415
404	494.8424393
405	494.5567401
406	492.9970495
407	492.4304537
408	490.5663618
409	489.7184457
410	488.264628
411	488.1363825
412	487.5405003
413	487.4233635
414	486.5796439
415	486.3257606
416	485.7355051
417	485.3893074
418	484.0176636
419	482.6024301
420	480.2692452
421	479.3214806
422	477.933457
423	476.9681258
424	474.61717
425	470.4417956
426	469.521003
427	468.342724
428	465.4884878
429	465.2016751
430	463.2174638
431	462.0501917
432	461.4992184
433	460.6971657
434	458.504281
435	458.1206971
436	457.0511398
437	456.7721883
438	456.3228743
439	455.024134
440	453.7816355
441	451.8748293
442	448.0376581
443	446.4889447
444	442.8960341
445	442.5017724
446	442.0364979
447	437.9948893
448	437.1918166
449	437.0228636
450	435.7387164
451	433.9170675
452	433.3705564
453	432.510372
454	431.7447645
455	430.9618746
456	430.6575752
457	429.0149708
458	428.4853725
459	426.9175207
460	426.2147481
461	425.1980774
462	424.3483468
463	423.6091067
464	423.0213878
465	421.9897788
466	421.8582521
467	420.7859988
468	419.8043309
469	419.6756731
470	419.2715182
471	419.1601821
472	418.3537284
473	418.050433
474	417.1000576
475	416.618119
476	415.8005612
477	414.4713659
478	414.0083726
479	413.1343294
480	412.4784291
481	412.4082371
482	412.0610743
483	411.5553747
484	410.6508925
485	409.7244402
486	409.607436
487	408.6880421
488	407.9739727
489	407.1000598
490	406.5147248
491	405.4393537
492	405.091841
493	404.7593889
494	402.5252569
495	401.9139888
496	401.7255081
497	400.8273833
498	399.9940701
499	399.1285914
500	398.4822517
501	398.0761819
502	397.6842298
503	397.3083482
504	396.3166316
505	395.9929974
506	394.7582498
507	394.0756536
508	393.3411137
509	393.0167732
510	392.4087343
511	391.5734831
512	391.2655234
513	390.6747065
514	390.5153252
515	389.8704333
516	389.5749932
517	389.3363284
518	389.0543941
519	388.1002614
520	386.9568151
521	386.135227
522	386.0338355
523	385.5016471
524	384.6242009
525	384.405251
526	384.3278008
527	383.7503031
528	382.9898416
529	382.8265566
530	382.3669752
531	382.1813969
532	381.9402351
533	379.441279
534	379.2089384
535	379.0623831
536	378.4490353
537	377.9780789
538	377.736208
539	377.0769931
540	375.5175661
541	374.9721522
542	374.4796248
543	373.9566068
544	372.7881701
545	372.1005704
546	370.7251597
547	370.5917709
548	370.5260498
549	370.1034958
550	369.609212
551	368.6843735
552	368.4698742
553	368.4019188
554	367.9273481
555	367.2947728
556	365.9002965
557	365.2276225
558	365.0255424
559	364.8197619
560	364.3999273
561	363.4345453
562	363.3632414
563	362.9258953
564	361.849144
565	361.6921531
566	361.4965238
567	361.0803354
568	360.1712045
569	360.1182254
570	359.6236192
571	359.1947595
572	359.083026
573	358.2827916
574	357.8362908
575	356.8013196
576	356.4253633
577	355.8593123
578	354.4093231
579	354.354042
580	353.9396309
581	353.8829892
582	353.8282076
583	353.3009746
584	352.0711662
585	352.0290805
586	351.5371173
587	350.8985791
588	350.735449
589	350.4152849
590	349.7112422
591	348.9971317
592	348.0792477
593	347.6061166
594	347.4804723
595	345.9561418
596	344.0232408
597	343.955872
598	343.1107028
599	342.6185972
600	341.9275476
601	341.7406092
602	341.2983294
603	340.8894278
604	340.5170584
605	340.1379404
606	339.6241517
607	339.118368
608	338.8210374
609	338.3854331
610	338.0548954
611	337.7366177
612	336.9704268
613	336.6316886
614	336.2818311
615	335.4876762
616	334.7391174
617	334.1327411
618	333.8231534
619	333.7693412
620	333.6408189
621	333.2576892
622	332.8945569
623	332.5297325
624	331.8800594
625	331.1365801
626	330.4963774
627	330.3996425
628	330.2789018
629	329.5127306
630	329.2207686
631	328.3124215
632	327.5358219
633	326.7031681
634	326.5842155
635	326.0950261
636	325.7800392
637	325.0799609
638	323.9589756
639	323.530906
640	323.2161722
641	322.8104592
642	322.7611498
643	322.1412428
644	321.7554006
645	321.128224
646	320.5916585
647	320.0141967
648	319.6340825
649	318.8758265
650	318.74289
651	318.2901976
652	317.6167147
653	317.4391131
654	317.3482707
655	317.1790957
656	316.8289287
657	316.6493624
658	315.7106225
659	315.1210745
660	315.0613309
661	314.9602309
662	314.6256309
663	314.4413485
664	313.7162439
665	313.098704
666	312.9025668
667	312.1802894
668	312.0976204
669	311.5010393
670	311.4223606
671	310.9143455
672	310.5772967
673	310.1792214
674	309.7336938
675	309.4298892
676	309.0701902
677	308.5601523
678	307.9739074
679	307.8138166
680	306.9536363
681	306.4990705
682	306.3961004
683	305.813697
684	305.3530136
685	305.0734209
686	304.3359633
687	303.8184668
688	303.4427741
689	303.1786971
690	302.9420596
691	302.4820487
692	302.0052677
693	301.6579254
694	301.5616379
695	301.267093
696	300.6864657
697	300.4329678
698	299.9123126
699	299.1238342
700	298.7571051
701	298.3959609
702	298.2010726
703	297.8555423
704	297.5316937
705	297.3186817
706	296.4316531
707	296.2102215
708	295.5420126
709	295.3465734
710	295.2581243
711	295.1782995
712	294.692822
713	294.4694038
714	294.1330506
715	293.3570232
716	292.8094585
717	292.5857709
718	291.9657862
719	291.7863554
720	291.3621214
721	291.2749601
722	291.0333047
723	290.6712988
724	290.4334891
725	289.9328008
726	289.5801125
727	289.4854251
728	288.9114651
729	288.2118368
730	288.18423
731	288.0815378
732	287.7381318
733	287.6490532
734	287.4248033
735	287.3914782
736	287.2084561
737	286.9448735
738	286.6668254
739	286.3205051
740	285.8891428
741	285.7612316
742	285.504002
743	284.9757028
744	284.5032305
745	284.3931537
746	283.8252646
747	283.7249344
748	283.3753971
749	282.980119
750	282.4809206
751	282.4004822
752	281.9583594
753	281.7081137
754	281.0804131
755	280.9874084
756	280.7415321
757	280.4754264
758	279.9707916
759	279.8861153
760	279.3740368
761	279.1394662
762	278.5894835
763	277.6478435
764	277.422483
765	277.3396762
766	276.5858759
767	276.5080734
768	276.436436
769	276.3703175
770	276.2685522
771	275.7635224
772	275.5404029
773	275.4729148
774	275.310542
775	275.2013145
776	275.1148049
777	275.0027139
778	274.8983288
779	274.8054013
780	274.4304527
781	274.3878611
782	273.823931
783	273.5613254
784	273.344107
785	273.1428922
786	272.9284409
787	272.7835765
788	272.4565443
789	272.2071705
790	271.9668668
791	271.7215127
792	270.5815534
793	270.4921391
794	269.9808941
795	269.936653
796	269.8744817
797	269.6579192
798	269.3315532
799	269.2801478
800	268.9667425
801	268.7548696
802	268.7162412
803	268.6682125
804	268.5794418
805	268.3229905
806	267.9362224
807	267.8931393
808	267.7460814
809	267.587108
810	266.9626714
811	266.5525104
812	266.4198397
813	265.5302463
814	265.4576004
815	265.2929228
816	265.262247
817	264.8537103
818	264.5352523
819	264.4586848
820	264.3218037
821	264.1907739
822	264.0477902
823	263.9328221
824	263.2720235
825	263.0946902
826	262.7275621
827	262.5605567
828	262.3113805
829	262.2719756
830	262.2017904
831	261.421697
832	260.985685
833	260.8067408
834	260.5092777
835	260.1791639
836	259.712824
837	259.4145509
838	259.338651
839	259.1739862
840	259.1414972
841	258.7287104
842	258.2589237
843	258.0320623
844	257.706174
845	257.3253345
846	257.2004212
847	257.1494989
848	256.5625203
849	256.1733142
850	255.4667455
851	255.1323127
852	254.8308952
853	254.7258451
854	254.4617717
855	254.255388
856	254.0294034
857	253.683244
858	253.3784342
859	253.1277375
860	252.8494409
861	252.5888572
862	252.533837
863	252.3473007
864	252.284767
865	252.1244868
866	252.0643523
867	251.7273984
868	251.6225509
869	251.3427738
870	251.2233614
871	250.9467516
872	250.7372816
873	250.4721399
874	250.3757265
875	250.3219982
876	249.8717356
877	249.3159124
878	248.9501212
879	248.8324287
880	248.53439
881	248.2825242
882	248.0899412
883	247.5884768
884	247.1815088
885	247.0028176
886	246.7690575
887	246.5321878
888	246.3399419
889	246.1025311
890	245.6709213
891	245.5687679
892	245.2281483
893	244.8256678
894	244.0584233
895	243.7802538
896	243.4208529
897	243.0504267
898	242.7845064
899	242.4282797
900	242.2038311
901	241.3351724
902	241.2318788
903	241.1977005
904	241.0191476
905	240.7685512
906	240.6009891
907	240.3430454
908	240.290433
909	240.130316
910	239.8677198
911	239.8290049
912	239.4147634
913	239.2244338
914	239.086979
915	238.6978634
916	238.5142138
917	238.376521
918	238.0825216
919	237.9286517
920	237.6062853
921	237.1956912
922	236.6746869
923	236.5331303
924	236.4729229
925	236.259159
926	236.0566202
927	235.7856467
928	235.2209276
929	235.077798
930	234.957151
931	234.7554654
932	234.6586367
933	234.3958128
934	234.3378181
935	233.7714882
936	233.5811985
937	233.39841
938	232.9650612
939	232.7121084
940	232.3645973
941	232.187684
942	232.0285985
943	231.981601
944	231.7310502
945	231.6867987
946	231.2994688
947	231.2583682
948	231.2199047
949	230.7448327
950	230.6982553
951	230.6720344
952	230.2421278
953	229.8803134
954	229.7285376
955	229.6822399
956	229.5467136
957	229.246871
958	229.078383
959	228.9057927
960	228.2152127
961	228.0787792
962	227.7889573
963	227.7450954
964	227.3500364
965	226.8365151
966	226.731032
967	226.5120553
968	226.2590276
969	225.9931337
970	225.5068989
971	225.166992
972	224.6983907
973	224.6575877
974	224.6011931
975	224.1816859
976	224.0034524
977	223.6544573
978	223.6265191
979	222.9873511
980	222.813546
981	222.5184808
982	222.4292006
983	222.2573788
984	221.8749362
985	221.7864932
986	221.7350722
987	221.5128827
988	221.3915889
989	221.358051
990	221.1640661
991	220.8674056
992	220.7071822
993	220.6324961
994	220.4175801
995	220.098976
996	219.9925779
997	219.7359539
998	219.4620452
999	219.2367287
